,Date,Demand,Seasonally adjusted (%)
0,2018-01-31,7254.695,5.5
1,2018-02-28,7170.1475,5.6
2,2018-03-31,6800.7675,5.5
3,2018-04-30,6731.99,5.5
4,2018-05-31,7326.14,5.4
5,2018-06-30,7936.1275000000005,5.3
6,2018-07-31,8171.334,5.3
7,2018-08-31,7629.6525,5.3
8,2018-09-30,7221.947999999999,5.0
9,2018-10-31,6777.495,5.0
10,2018-11-30,6598.655,5.1
11,2018-12-31,6863.164,5.0
12,2019-01-31,7348.6525,5.0
13,2019-02-28,6915.7475,5.0
14,2019-03-31,6746.978,5.1
15,2019-04-30,6749.922500000001,5.2
16,2019-05-31,7183.6875,5.2
17,2019-06-30,7896.467999999999,5.3
18,2019-07-31,8012.217500000001,5.3
19,2019-08-31,7827.295,5.3
20,2019-09-30,7226.4,5.2
21,2019-10-31,6655.7625,5.3
22,2019-11-30,6642.07,5.2
23,2019-12-31,6785.25,5.0
24,2020-01-31,7104.22,5.2
25,2020-02-29,7386.0375,5.1
26,2020-03-31,6548.602000000001,5.2
27,2020-04-30,6480.0025000000005,6.3
28,2020-05-31,7279.122,7.0
29,2020-06-30,7741.4675,7.4
30,2020-07-31,7906.077499999999,7.5
31,2020-08-31,7794.726,6.8
32,2020-09-30,7063.8475,6.9
33,2020-10-31,6435.45,7.0
34,2020-11-30,6848.602000000001,6.8
35,2020-12-31,6524.255,6.5
36,2021-01-31,6805.914,6.3
37,2021-02-28,6775.875,5.8
38,2021-03-31,6677.055,5.7
39,2021-04-30,6818.3099999999995,5.5
40,2021-05-31,7470.57,5.1
41,2021-06-30,8142.195,5.0
42,2021-07-31,8133.782499999999,4.8
43,2021-08-31,7602.812,4.6
44,2021-09-30,6904.78,4.7
45,2021-10-31,6473.724,5.3
46,2021-11-30,6349.3325,4.6
47,2021-12-31,6607.415,4.2
48,2022-01-31,6884.012,4.2
49,2022-02-28,6579.0675,4.0
50,2022-03-31,6530.62,4.0
51,2022-04-30,6684.955,3.9
52,2022-05-31,7222.25,3.9
53,2022-06-30,8060.2,3.6
54,2022-07-31,8249.802,3.5
55,2022-08-31,7812.2975,3.5
56,2022-09-30,7306.84,3.6
57,2022-10-31,6808.3460000000005,3.5
58,2022-11-30,6478.66,3.5
59,2022-12-31,6489.4025,3.5
60,2023-01-31,6831.003999999999,3.7
61,2023-02-28,6820.9925,3.6
62,2023-03-31,6895.405000000001,3.6
63,2023-04-30,6694.224,3.7
64,2023-05-31,7692.735000000001,3.6
65,2023-06-30,7882.4525,3.5
